_tag_key,STR Entry
Thu 01 - Jan | 14:50 | Long | 1|Thu 01 - Jan|14:50|15:00|NIFTY 06 JAN 26150 PUT|65,Reversal
Thu 01 - Jan | 15:15 | Long | 2|Thu 01 - Jan|15:15|15:17|NIFTY 06 JAN 26150 PUT|65,Conti
Fri 02 - Jan | 09:17 | Long | 1|Fri 02 - Jan|09:17|09:23|NIFTY 06 JAN 26200 PUT|65,Manual
Fri 02 - Jan | 09:25 | Long | 2|Fri 02 - Jan|09:25|09:44|NIFTY 06 JAN 26200 CALL|65,
Fri 02 - Jan | 10:57 | Long | 3|Fri 02 - Jan|10:57|11:24|NIFTY 06 JAN 26250 PUT|65,
Mon 05 - Jan | 09:36 | Long | 1|Mon 05 - Jan|09:36|09:36|NIFTY 06 JAN 26300 PUT|65,
Mon 05 - Jan | 09:50 | Long | 2|Mon 05 - Jan|09:50|09:56|NIFTY 06 JAN 26300 CALL|65,
Mon 05 - Jan | 10:12 | Long | 3|Mon 05 - Jan|10:12|10:12|NIFTY 06 JAN 26300 PUT|65,
Mon 05 - Jan | 10:43 | Long | 4|Mon 05 - Jan|10:43|10:46|NIFTY 06 JAN 26350 PUT|65,
Mon 05 - Jan | 11:00 | Long | 5|Mon 05 - Jan|11:00|11:03|NIFTY 06 JAN 26350 PUT|65,
Tue 06 - Jan | 10:22 | Long | 1|Tue 06 - Jan|10:22|10:32|NIFTY 13 JAN 26250 PUT|65,
Tue 06 - Jan | 10:25 | Long | 2|Tue 06 - Jan|10:25|10:32|NIFTY 13 JAN 26250 PUT|130,
Tue 06 - Jan | 10:36 | Long | 3|Tue 06 - Jan|10:36|10:42|NIFTY 13 JAN 26250 PUT|65,
Tue 06 - Jan | 10:55 | Long | 4|Tue 06 - Jan|10:55|10:59|NIFTY 13 JAN 26250 CALL|130,
Wed 07 - Jan | 10:04 | Long | 1|Wed 07 - Jan|10:04|10:15|NIFTY 13 JAN 26150 PUT|130,
Wed 07 - Jan | 10:39 | Long | 2|Wed 07 - Jan|10:39|10:51|NIFTY 13 JAN 26150 PUT|130,
Thu 08 - Jan | 11:05 | Long | 1|Thu 08 - Jan|11:05|11:05|NIFTY 13 JAN 26200 CALL|130,
Thu 08 - Jan | 11:56 | Long | 2|Thu 08 - Jan|11:56|12:04|NIFTY 13 JAN 26300 PUT|130,
